epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2892.06,0.99033,0.55307,1.05676,0.86683,0.87731,0.92973,0.64007,1.10186,0.62106,1.15146,0.000569375,0.000569375,0.000569375
57,2943.81,0.97373,0.5588,1.05699,0.862,0.84525,0.92517,0.64196,1.10025,0.60831,1.15053,0.000557,0.000557,0.000557
58,2995.47,0.99654,0.56578,1.06161,0.83998,0.87937,0.92817,0.63322,1.1099,0.619,1.158,0.000544625,0.000544625,0.000544625
59,3046.97,0.98924,0.54881,1.06231,0.87555,0.8734,0.9339,0.63614,1.10542,0.61653,1.15295,0.00053225,0.00053225,0.00053225
60,3098.51,0.98986,0.55623,1.06045,0.84288,0.89324,0.92344,0.63122,1.10229,0.63585,1.15293,0.000519875,0.000519875,0.000519875
61,3150.08,0.97905,0.5452,1.05021,0.85003,0.88569,0.92518,0.63045,1.10494,0.61057,1.15901,0.0005075,0.0005075,0.0005075
62,3201.62,0.9504,0.53271,1.04025,0.8788,0.87186,0.92603,0.6275,1.10783,0.61279,1.15861,0.000495125,0.000495125,0.000495125
63,3253.19,0.93561,0.52391,1.04091,0.8404,0.89006,0.92262,0.63511,1.08985,0.61337,1.1539,0.00048275,0.00048275,0.00048275
64,3304.74,0.94903,0.5217,1.03731,0.84036,0.85616,0.91866,0.62709,1.09808,0.60116,1.15794,0.000470375,0.000470375,0.000470375
65,3356.3,0.95178,0.53191,1.04716,0.86907,0.87252,0.91538,0.62647,1.10798,0.62033,1.16182,0.000458,0.000458,0.000458
66,3407.86,0.94807,0.52752,1.04057,0.83786,0.88077,0.9204,0.62564,1.09651,0.6143,1.14866,0.000445625,0.000445625,0.000445625
67,3459.39,0.91997,0.51685,1.02747,0.88367,0.85397,0.91962,0.63233,1.11115,0.61154,1.15544,0.00043325,0.00043325,0.00043325
68,3510.9,0.91621,0.51001,1.0257,0.86474,0.87176,0.92213,0.63876,1.10008,0.60553,1.15626,0.000420875,0.000420875,0.000420875
69,3562.46,0.90797,0.50469,1.01975,0.83841,0.89929,0.92662,0.6286,1.11407,0.60204,1.15794,0.0004085,0.0004085,0.0004085
70,3614,0.91749,0.50367,1.02317,0.86179,0.87911,0.9237,0.62889,1.10763,0.6146,1.15726,0.000396125,0.000396125,0.000396125
71,3665.57,0.91556,0.50526,1.02093,0.87014,0.86611,0.92419,0.62274,1.10931,0.60287,1.15737,0.00038375,0.00038375,0.00038375
72,3717.07,0.90245,0.4939,1.02373,0.88582,0.86376,0.92788,0.62922,1.11037,0.59598,1.16147,0.000371375,0.000371375,0.000371375
73,3768.63,0.89514,0.50012,1.01991,0.87329,0.8593,0.91884,0.62189,1.10349,0.60578,1.16701,0.000359,0.000359,0.000359
74,3820.15,0.87618,0.4875,1.01125,0.87384,0.8664,0.91967,0.62635,1.11967,0.61112,1.17359,0.000346625,0.000346625,0.000346625
75,3871.65,0.88585,0.48545,1.01756,0.86701,0.87313,0.92439,0.63664,1.10009,0.60634,1.15806,0.00033425,0.00033425,0.00033425
76,3923.16,0.87807,0.48355,1.00385,0.84721,0.86645,0.91999,0.62579,1.11432,0.63051,1.15921,0.000321875,0.000321875,0.000321875
77,3974.68,0.86812,0.47317,1.00302,0.81437,0.91314,0.92012,0.63258,1.10636,0.60949,1.15869,0.0003095,0.0003095,0.0003095
78,4026.21,0.85378,0.46749,0.99487,0.84694,0.87744,0.9217,0.63075,1.1028,0.60484,1.164,0.000297125,0.000297125,0.000297125
79,4077.71,0.8573,0.45719,0.9937,0.88467,0.85384,0.92375,0.62947,1.11527,0.59488,1.17667,0.00028475,0.00028475,0.00028475
80,4129.21,0.8422,0.45791,0.98702,0.85974,0.85572,0.91677,0.628,1.11788,0.61524,1.17153,0.000272375,0.000272375,0.000272375
81,4180.72,0.82761,0.45282,0.98885,0.86086,0.86094,0.9164,0.62533,1.12523,0.61798,1.16577,0.00026,0.00026,0.00026
82,4232.22,0.84445,0.45589,0.99635,0.87377,0.84195,0.91119,0.61911,1.11035,0.61717,1.15468,0.000247625,0.000247625,0.000247625
83,4283.78,0.82862,0.45037,0.98035,0.85005,0.84897,0.91565,0.62466,1.10829,0.60855,1.16091,0.00023525,0.00023525,0.00023525
84,4335.28,0.81971,0.44484,0.9768,0.89007,0.8437,0.91647,0.63618,1.10073,0.59882,1.16122,0.000222875,0.000222875,0.000222875
85,4386.77,0.82457,0.44437,0.99109,0.85821,0.87835,0.92228,0.63452,1.10389,0.59735,1.16813,0.0002105,0.0002105,0.0002105
86,4438.28,0.80547,0.43507,0.98059,0.86811,0.85906,0.92179,0.63597,1.10173,0.58761,1.16472,0.000198125,0.000198125,0.000198125
87,4489.79,0.78754,0.42437,0.97481,0.8562,0.87945,0.92493,0.63211,1.10416,0.59049,1.16897,0.00018575,0.00018575,0.00018575
